sheet,ref,pin_number,pin_name,net_label,label_kind
mcu-ui,U1,15,P1.2,IOEXP_SPARE_P1_2,local
mcu-ui,U1,16,P1.3,IOEXP_SPARE_P1_3,local
mcu-ui,U1,17,P1.4,IOEXP_SPARE_P1_4,local
mcu-ui,U1,18,P1.5,IOEXP_SPARE_P1_5,local
mcu-ui,U1,19,P1.6,IOEXP_SPARE_P1_6,local
mcu-ui,U1,20,P1.7,IOEXP_SPARE_P1_7,local
mcu-ui,U1,22,SCL,I2C_SCL,local
mcu-ui,U1,23,SDA,I2C_SDA,local
mcu-ui,U1,24,VCC,+3V3_DIG,global
mcu-ui,U5,VDD/VDDIO,VDD/VDDIO,+3V3_DIG,global
mcu-ui,U5,VSS,VSS,GND,global
mcu-ui,U5,SCK/CLK,SCK/CLK,LCD_SCK,local
mcu-ui,U5,MOSI/SI,MOSI/SI,LCD_MOSI,local
mcu-ui,U5,A0/DC,A0/DC,LCD_DC,local
mcu-ui,U5,CS,CS,GND,global
mcu-ui,U5,RST,RST,LCD_RST,local
mcu-ui,U5,V0/VOUT,V0/VOUT,LCD_V0,local
mcu-ui,U5,LED+,LED+,+3V3_DIG,global
mcu-ui,U5,LED-,LED-,LCD_BL_K,local
mcu-ui,U6,A,A,EC11_A,local
mcu-ui,U6,B,B,EC11_B,local
mcu-ui,U6,SW1,SW1,EC11_SW,local
mcu-ui,U6,SW2,SW2,GND,global
mcu-ui,Q5,1,G,LCD_BL_CTRL,local
mcu-ui,Q5,2,S,GND,global
mcu-ui,Q5,3,D,LCD_BL_K,local
mcu-ui,R_BL,1,1,IOEXP_LCD_BL,local
mcu-ui,R_BL,2,2,LCD_BL_CTRL,local
mcu-ui,R_BL2,1,1,LCD_BL_CTRL,local
mcu-ui,R_BL2,2,2,GND,global
mcu-ui,R_BLLED,1,1,+3V3_DIG,global
mcu-ui,R3,2,2,+3V3_DIG,global
mcu-ui,R4,2,2,+3V3_DIG,global
mcu-ui,R5,2,2,+3V3_DIG,global
mcu-ui,R6,1,1,I2C_SDA,local
mcu-ui,R6,2,2,+3V3_DIG,global
mcu-ui,R7,1,1,I2C_SCL,local
mcu-ui,R7,2,2,+3V3_DIG,global
mcu-ui,R_VBAT1,1,1,VBAT,global
mcu-ui,R_VBAT1,2,2,VBAT_DIV,local
mcu-ui,R_VBAT2,1,1,VBAT_DIV,local
mcu-ui,R_VBAT2,2,2,GND,global
mcu-ui,R_VBAT3,1,1,VBAT_DIV,local
mcu-ui,R_VBAT3,2,2,ADC_VBAT,local
mcu-ui,C_VBAT,1,1,ADC_VBAT,local
mcu-ui,C_VBAT,2,2,GND,global
mcu-ui,R12,1,1,PA_PWR_PWM,global
mcu-ui,R12,2,2,GND,global
mcu-ui,LS1,+,+,BUZZER_DRV,local
mcu-ui,SW2,1,1,KEY_USER,local
mcu-ui,J_USB,D+,D+,USB_DP,local
mcu-ui,J_USB,D-,D-,USB_DM,local
mcu-ui,J_UART,TX,TX,UART0_TX,local
mcu-ui,J_UART,RX,RX,UART0_RX,local
power-module,BT1,+,+,VBAT,global
power-module,BT1,-,-,GND,global
power-module,U9,IN,IN,VBAT,global
power-module,U9,SW,SW,+5V,global
power-module,U10,OUT,OUT,+3V3_RF,global
power-module,U11,VIN,VIN,VBAT,global
power-module,U11,OUT,OUT,+12V,global
power-module,U11,FB,FB,PA_PWR_PWM,global
power-module,FB1,OUT,OUT,+3V3_DIG,global
core-board,J1,12V,12V,+12V,global
core-board,J1,5V,5V,+5V,global
antenna,J_ANT,CENTER,CENTER,ATU_L3_LO,global
antenna,R_esd,1,1,ATU_L3_LO,global
antenna,R_esd,2,2,GND,global
