row,net,net_label,src,dst,status,pins,detail
42,IOEXP_SPARE_P1_7,IOEXP_SPARE_P1_7,U1.P1.7,-.NC,DRAWN,U1.20,
43,+12V_RELAY,+12V,U2.COM,+12V.-,DRAWN,U2.9,
44,RELAY_K1_COIL,RELAY_K1_COIL,U2.OUT1,K1.线圈+,DRAWN,U2.16;K1.COIL+,
45,+12V_RELAY,+12V,K1.线圈-,+12V.-,DRAWN,K1.COIL-,
46,RELAY_K2_COIL,RELAY_K2_COIL,U2.OUT2,K2.线圈+,DRAWN,U2.15;K2.COIL+,
47,+12V_RELAY,+12V,K2.线圈-,+12V.-,DRAWN,K2.COIL-,
48,RELAY_K3_COIL,RELAY_K3_COIL,U2.OUT3,K3.线圈+,DRAWN,U2.14;K3.COIL+,
49,+12V_RELAY,+12V,K3.线圈-,+12V.-,DRAWN,K3.COIL-,
50,RELAY_K4_COIL,RELAY_K4_COIL,U2.OUT4,K4.线圈+,DRAWN,U2.13;K4.COIL+,
51,+12V_RELAY,+12V,K4.线圈-,+12V.-,DRAWN,K4.COIL-,
52,RELAY_K5_COIL,RELAY_K5_COIL,U2.OUT5,K5.线圈+,DRAWN,U2.12;K5.COIL+,
53,+12V_RELAY,+12V,K5.线圈-,+12V.-,DRAWN,K5.COIL-,
54,RELAY_K6_COIL,RELAY_K6_COIL,U2.OUT6,K6.线圈+,DRAWN,U2.11;K6.COIL+,
55,+12V_RELAY,+12V,K6.线圈-,+12V.-,DRAWN,K6.COIL-,
56,GND,GND,U2.GND,GND.-,DRAWN,U2.8,
57,LCD_SCK,LCD_SCK,U4.GPIO6,U5.SCK/CLK,DRAWN,U4.GPIO6;U5.SCK/CLK,
58,LCD_MOSI,LCD_MOSI,U4.GPIO7,U5.MOSI/SI,DRAWN,U4.GPIO7;U5.MOSI/SI,
59,LCD_DC,LCD_DC,U4.GPIO10,U5.A0/DC,DRAWN,U4.GPIO10;U5.A0/DC,
60,GND,GND,U5.CS,GND.-,DRAWN,U5.CS,
61,LCD_RST,LCD_RST,U5.RST,RESET_BOARD.-,DRAWN,U5.RST,
62,LCD_BL_CTRL,LCD_BL_CTRL,R_BL.2,Q5.G,DRAWN,R_BL.2;Q5.1,
63,LCD_BL_GATE_PD,LCD_BL_CTRL,R_BL2.1,Q5.G,DRAWN,R_BL2.1;Q5.1,
64,GND,GND,R_BL2.2,GND.-,DRAWN,R_BL2.2,
65,LCD_BL_K,LCD_BL_K,Q5.D,U5.LED-,DRAWN,Q5.3;U5.LED-,
66,GND,GND,Q5.S,GND.-,DRAWN,Q5.2,
67,+3V3_DIG,+3V3_DIG,R_BLLED.1,U5.LED+,DRAWN,R_BLLED.1;U5.LED+,
68,+3V3_DIG,+3V3_DIG,U5.VDD/VDDIO,U5.VDD/VDDIO,DRAWN,U5.VDD/VDDIO;U5.VDD/VDDIO,
69,LCD_V0,LCD_V0,U5.V0/VOUT,LCD_BIAS.-,DRAWN,U5.V0/VOUT,
70,GND,GND,U5.VSS,GND.-,DRAWN,U5.VSS,
71,CW_KEY_SRC,CW_KEY_SRC,U4.I2C 写 CLKx_DIS,U7.CLKx_CONTROL,NOTE,,row pin token 'I2C ? CLKx_DIS' is not a pin of U4 (ESP32C3_MODULE) - see netlist.csv row | row pin token 'CLKx_CONTROL' is not a pin of U7 (SI5351A) - see netlist.csv row
72,RF_SRC_CLK,RF_SRC_CLK,U7.CLK0,U8.1A,DRAWN,U7.CLK0;U8.2,
73,RF_SRC_PD,RF_SRC_CLK,R8.1,U8.1A,DRAWN,R8.1;U8.2,
74,GND,GND,R8.2,GND.-,DRAWN,R8.2,
75,PA_GATE,PA_GATE,U8.1Y,Q1.G,DRAWN,U8.3;Q1.2,
76,PA_GATE,PA_GATE,U8.1Y,Q2.G,DRAWN,U8.3;Q2.2,
77,PA_GATE,PA_GATE,U8.1Y,Q3.G,DRAWN,U8.3;Q3.2,
78,PA_GATE_PD,PA_GATE,R10.1,Q1.G,DRAWN,R10.1;Q1.2,
79,PA_GATE_PD,PA_GATE,R10.1,Q2.G,DRAWN,R10.1;Q2.2,
80,PA_GATE_PD,PA_GATE,R10.1,Q3.G,DRAWN,R10.1;Q3.2,
81,GND,GND,R10.2,GND.-,DRAWN,R10.2,
82,PA_BIAS,PA_BIAS,R1.2,R2.1,DRAWN,R1.2;R2.1,
83,+5V,+5V,R1.1,+5V.-,DRAWN,R1.1,
84,GND,GND,R2.2,GND.-,DRAWN,R2.2,
85,PA_BIAS,PA_BIAS,R1.2,Q1.G,PARTIAL,R1.2,Q1.G stays on PA_GATE (row 75)
86,GND,GND,D5_prot.A,Q1.G,PARTIAL,D5.1,Q1.G stays on PA_GATE (row 75)
87,PA_DRAIN,PA_DRAIN,+12V.-,Q1.D,DRAWN,Q1.1,
88,GND,GND,Q1.S,GND.-,DRAWN,Q1.3,
89,PA_BYPASS,PA_DRAIN,C6.1,Q1.D,DRAWN,C6.1;Q1.1,
90,PA_BIAS,PA_BIAS,R1.2,Q2.G,PARTIAL,R1.2,Q2.G stays on PA_GATE (row 76)
91,GND,GND,D5_prot.A,Q2.G,PARTIAL,D5.1,Q2.G stays on PA_GATE (row 76)
92,PA_DRAIN,PA_DRAIN,+12V.-,Q2.D,DRAWN,Q2.1,
93,GND,GND,Q2.S,GND.-,DRAWN,Q2.3,
94,PA_BYPASS,PA_DRAIN,C6.1,Q2.D,DRAWN,C6.1;Q2.1,
95,PA_BIAS,PA_BIAS,R1.2,Q3.G,PARTIAL,R1.2,Q3.G stays on PA_GATE (row 77)
96,GND,GND,D5_prot.A,Q3.G,PARTIAL,D5.1,Q3.G stays on PA_GATE (row 77)
97,PA_DRAIN,PA_DRAIN,+12V.-,Q3.D,DRAWN,Q3.1,
98,GND,GND,Q3.S,GND.-,DRAWN,Q3.3,
99,PA_BYPASS,PA_DRAIN,C6.1,Q3.D,DRAWN,C6.1;Q3.1,
100,+5V,+5V,U8.VCC,+5V.-,DRAWN,U8.20,
101,GND,GND,U8.GND,GND.-,DRAWN,U8.10,
102,DEC244,+5V,C244.1,U8.VCC,DRAWN,C244.1;U8.20,
103,PA_RF_OUT,PA_RF_OUT,Q1.D (并联),J_PA_OUT.中心,PARTIAL,J_PA_OUT.CENTER,Q1.D stays on PA_DRAIN (row 87)
104,ATU_L_IN,ATU_L_IN,J_ATU_IN.中心,L1.1,DRAWN,J_ATU_IN.CENTER;L1.1,
105,XFWD_SEC,DET_FWD,T1.次级+,R_sense_F.1,DRAWN,T1.SEC+;R_sense_F.1,
106,GND,GND,R_sense_F.2,GND.-,DRAWN,R_sense_F.2,
107,DET_FWD,DET_FWD,R_sense_F.1,D1.A,DRAWN,R_sense_F.1;D1.A,
108,DET_FWD,DET_FWD,R_sense_F.1,D3.A,DRAWN,R_sense_F.1;D3.A,
109,ADC_FWD,ADC_FWD,D1.K,U4.GPIO0,DRAWN,D1.K;U4.GPIO0,
110,ADC_FWD,ADC_FWD,D3.K,U4.GPIO0,DRAWN,D3.K;U4.GPIO0,
111,XREV_SEC,DET_REV,T2.次级+,R_sense_R.1,DRAWN,T2.SEC+;R_sense_R.1,
112,GND,GND,R_sense_R.2,GND.-,DRAWN,R_sense_R.2,
113,DET_REV,DET_REV,R_sense_R.1,D2.A,DRAWN,R_sense_R.1;D2.A,
114,DET_REV,DET_REV,R_sense_R.1,D4.A,DRAWN,R_sense_R.1;D4.A,
115,ADC_REV,ADC_REV,D2.K,U4.GPIO1,DRAWN,D2.K;U4.GPIO1,
116,ADC_REV,ADC_REV,D4.K,U4.GPIO1,DRAWN,D4.K;U4.GPIO1,
117,LM358_IN,ADC_FWD,D1.K,U3.IN+,DRAWN,D1.K;U3.3,
118,+5V,+5V,U3.V+,+5V.-,DRAWN,U3.8,
119,VBAT,VBAT,BT1.+,R_VBAT1.1,DRAWN,BT1.+;R_VBAT1.1,
120,VBAT_DIV,VBAT_DIV,R_VBAT1.2,R_VBAT2.1,DRAWN,R_VBAT1.2;R_VBAT2.1,
121,GND,GND,R_VBAT2.2,GND.-,DRAWN,R_VBAT2.2,
122,VBAT_DIV,VBAT_DIV,R_VBAT1.2,R_VBAT3.1,DRAWN,R_VBAT1.2;R_VBAT3.1,
123,ADC_VBAT,ADC_VBAT,R_VBAT3.2,U4.GPIO3,DRAWN,R_VBAT3.2;U4.GPIO3,
124,ADC_VBAT,ADC_VBAT,R_VBAT3.2,C_VBAT.1,DRAWN,R_VBAT3.2;C_VBAT.1,
125,GND,GND,C_VBAT.2,GND.-,DRAWN,C_VBAT.2,
126,ANT_ESD,ATU_L3_LO,J_ANT.中心,R_esd.1,DRAWN,J_ANT.CENTER;R_esd.1,
127,GND,GND,R_esd.2,GND.-,DRAWN,R_esd.2,
128,+12V,+12V,U11.OUT,+12V.-,DRAWN,U11.OUT,
129,+12V,+12V,U11.OUT,U2.COM,DRAWN,U11.OUT;U2.9,
130,+12V,+12V,U11.OUT,J1.12V,DRAWN,U11.OUT;J1.12V,
131,+5V,+5V,U9.OUT,J1.5V,DRAWN,U9.SW;J1.5V,
132,+5V,+5V,U9.OUT,U8.VCC,DRAWN,U9.SW;U8.20,
133,+5V,+5V,U9.OUT,R1.1,DRAWN,U9.SW;R1.1,
134,+3V3_RF,+3V3_RF,U10.OUT,U7.VDD,DRAWN,U10.OUT;U7.VDD,
135,+3V3_DIG,+3V3_DIG,FB1.OUT,U4.3V3,DRAWN,FB1.OUT;U4.3V3,
136,+3V3_DIG,+3V3_DIG,FB1.OUT,U5.VDD,DRAWN,FB1.OUT;U5.VDD/VDDIO,
137,+3V3_DIG,+3V3_DIG,FB1.OUT,U1.VCC,DRAWN,FB1.OUT;U1.24,
138,VBAT,VBAT,BT1.+,U9.VIN,DRAWN,BT1.+;U9.IN,
139,VBAT,VBAT,BT1.+,U11.VIN,DRAWN,BT1.+;U11.VIN,
140,GND,GND,BT1.-,GND.-,DRAWN,BT1.-,
141,GND,GND,GND_DIG.-,GND_RF.-,NOTE,,
142,GND,GND,GND_PWR.-,GND_DIG.-,NOTE,,
143,ATU_L_IN,ATU_L_IN,L1.1,K1.COM,DRAWN,L1.1;K1.COM,
144,ATU_L1_LO,ATU_L1_LO,L1.2,L2.1,DRAWN,L1.2;L2.1,
145,ATU_L1_LO,ATU_L1_LO,L1.2,K1.NC,DRAWN,L1.2;K1.NC,
146,ATU_L1_LO,ATU_L1_LO,L1.2,K2.COM,DRAWN,L1.2;K2.COM,
147,ATU_L2_LO,ATU_L2_LO,L2.2,L3.1,DRAWN,L2.2;L3.1,
148,ATU_L2_LO,ATU_L2_LO,L2.2,K2.NC,DRAWN,L2.2;K2.NC,
149,ATU_L2_LO,ATU_L2_LO,L2.2,K3.COM,DRAWN,L2.2;K3.COM,
150,ATU_L3_LO,ATU_L3_LO,L3.2,J_ANT.中心,DRAWN,L3.2;J_ANT.CENTER,
151,ATU_L3_LO,ATU_L3_LO,L3.2,K3.NC,DRAWN,L3.2;K3.NC,
152,ATU_L3_LO,ATU_L3_LO,L3.2,K4.COM,DRAWN,L3.2;K4.COM,
153,ATU_L3_LO,ATU_L3_LO,L3.2,K5.COM,DRAWN,L3.2;K5.COM,
154,ATU_L3_LO,ATU_L3_LO,L3.2,K6.COM,DRAWN,L3.2;K6.COM,
155,ATU_C3,ATU_C3,K4.NO,C3.1,DRAWN,K4.NO;C3.1,
156,GND,GND,C3.2,GND.-,DRAWN,C3.2,
157,ATU_C4,ATU_C4,K5.NO,C4.1,DRAWN,K5.NO;C4.1,
158,GND,GND,C4.2,GND.-,DRAWN,C4.2,
159,ATU_C5,ATU_C5,K6.NO,C5.1,DRAWN,K6.NO;C5.1,
160,GND,GND,C5.2,GND.-,DRAWN,C5.2,
161,ATU_K1_NO_NC,ATU_K1_NO_NC,K1.NO,-.NC,DRAWN,K1.NO,
162,ATU_K2_NO_NC,ATU_K2_NO_NC,K2.NO,-.NC,DRAWN,K2.NO,
163,ATU_K3_NO_NC,ATU_K3_NO_NC,K3.NO,-.NC,DRAWN,K3.NO,
164,ATU_K4_NC_NC,ATU_K4_NC_NC,K4.NC,-.NC,DRAWN,K4.NC,
165,ATU_K5_NC_NC,ATU_K5_NC_NC,K5.NC,-.NC,DRAWN,K5.NC,
166,ATU_K6_NC_NC,ATU_K6_NC_NC,K6.NC,-.NC,DRAWN,K6.NC,
167,IOEXP_RELAY_K1,IOEXP_RELAY_K1,R_RLY1.1,U2.IN1,DRAWN,R_RLY1.1;U2.1,
168,GND,GND,R_RLY1.2,GND.-,DRAWN,R_RLY1.2,
169,IOEXP_RELAY_K2,IOEXP_RELAY_K2,R_RLY2.1,U2.IN2,DRAWN,R_RLY2.1;U2.2,
170,GND,GND,R_RLY2.2,GND.-,DRAWN,R_RLY2.2,
171,IOEXP_RELAY_K3,IOEXP_RELAY_K3,R_RLY3.1,U2.IN3,DRAWN,R_RLY3.1;U2.3,
172,GND,GND,R_RLY3.2,GND.-,DRAWN,R_RLY3.2,
173,IOEXP_RELAY_K4,IOEXP_RELAY_K4,R_RLY4.1,U2.IN4,DRAWN,R_RLY4.1;U2.4,
174,GND,GND,R_RLY4.2,GND.-,DRAWN,R_RLY4.2,
175,IOEXP_RELAY_K5,IOEXP_RELAY_K5,R_RLY5.1,U2.IN5,DRAWN,R_RLY5.1;U2.5,
176,GND,GND,R_RLY5.2,GND.-,DRAWN,R_RLY5.2,
177,IOEXP_RELAY_K6,IOEXP_RELAY_K6,R_RLY6.1,U2.IN6,DRAWN,R_RLY6.1;U2.6,
178,GND,GND,R_RLY6.2,GND.-,DRAWN,R_RLY6.2,
179,BUZZER_DRV,BUZZER_DRV,U1.IOEXP_SPARE,LS1.+,PARTIAL,LS1.+,row pin token 'IOEXP_SPARE' is not a pin of U1 (TCA9535) - see netlist.csv row
180,FB_PULLDOWN,GPIO12_FB_PD,R12.1,PA_PWR_PWM.-,PARTIAL,R12.1,"netlist.csv declares net GPIO12_FB_PD but the other end is net name PA_PWR_PWM, so the pin was placed on PA_PWR_PWM"
181,GND,GND,R12.2,GND.-,DRAWN,R12.2,
